donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-003,cross-donor,leak_free,gastrocnemius_medialis,0.6682520808561236,0.5674094012605042,0.7638340797207247,0.6969077432887489,58,,
ENC-003,cross-donor,leak_free,gastroesophageal_sphincter,0.5860264696829793,0.47810631636657436,0.6848390685197567,0.6584616948202475,57,,
ENC-003,cross-donor,leak_free,heart_left_ventricle,0.6155017301038062,0.5318861653510594,0.6992480605583726,0.632529382932705,85,,
ENC-003,cross-donor,leak_free,ovary,0.5240928019036287,0.3958014455782313,0.649190605590062,0.5771357254321426,41,,
ENC-003,cross-donor,leak_free,right_lobe_of_liver,0.6412742382271468,0.5529542591526664,0.7284197659197659,0.6936409603390068,76,,
ENC-003,cross-donor,leak_free,spleen,0.6758845550054342,0.594118219017399,0.7522137976868488,0.7261143399764467,91,,
ENC-003,cross-donor,leak_free,thyroid_gland,0.62109375,0.4716586391088945,0.7596670455980801,0.6876219509566115,32,,
ENC-003,cross-donor,leak_free,tibial_nerve,0.603444654484352,0.5069331709956709,0.6911306649197273,0.6665358282317981,69,,
ENC-003,cross-donor,leak_free,transverse_colon,0.6348750359092215,0.5335264299268094,0.7370476411957148,0.6924647176828247,59,,
ENC-003,cross-donor,leak_free,upper_lobe_of_left_lung,0.5556018325697627,0.43977919059338255,0.6687514040436456,0.5640234222418383,49,,
ENC-003,cross-donor,leak_free,uterus,0.5721839448806281,0.47963335803689067,0.6583413654618473,0.6506162506516383,79,,
ENC-004,cross-donor,full,ALL,0.5798582412999984,0.5723512309679104,0.5877927563293383,0.6446258804131177,10629,,
ENC-004,cross-donor,leak_free,ALL,0.5595608196424622,0.5365938147780429,0.5840889375150923,0.6356245608956962,1115,,
ENC-004,cross-donor,leak_free,adrenal_gland,0.4957466918714556,0.3626534174406515,0.6110311820094874,0.5668307996533246,46,,
ENC-004,cross-donor,leak_free,ascending_aorta,0.5672636401499376,0.4533303653880247,0.6845720855231725,0.6825084107678723,49,,
ENC-004,cross-donor,leak_free,body_of_pancreas,0.5554196873089352,0.47435378975197384,0.6349058127545294,0.6095791933703321,107,,
ENC-004,cross-donor,leak_free,breast_epithelium,0.5862068965517241,0.43328255675029864,0.73575034135518,0.6821127921342303,29,,
ENC-004,cross-donor,leak_free,esophagus_muscularis_mucosa,0.5082908163265306,0.3457931295047663,0.6581835426478283,0.627716189619,28,,
ENC-004,cross-donor,leak_free,esophagus_squamous_epithelium,0.5908,0.4719191919191919,0.702506626827279,0.6736303083371247,50,,
ENC-004,cross-donor,leak_free,gastrocnemius_medialis,0.5509641873278237,0.4456522787463755,0.64909821938749,0.664768101147083,66,,
ENC-004,cross-donor,leak_free,gastroesophageal_sphincter,0.6319393718042366,0.5414696512256668,0.7287702588019708,0.6787262350371848,74,,
ENC-004,cross-donor,leak_free,heart_left_ventricle,0.6855702583490864,0.5970418647256882,0.7708693693508819,0.7533190047052429,69,,
ENC-004,cross-donor,leak_free,ovary,0.5014792899408285,0.3418018768393581,0.6781361607142857,0.6126831690744106,26,,
ENC-004,cross-donor,leak_free,right_atrium_auricular_region,0.5968346522282383,0.48483011553663724,0.7044652099970423,0.6319997164324226,49,,
ENC-004,cross-donor,leak_free,spleen,0.6394,0.5600173087536845,0.7148644454289179,0.6921162501840381,100,,
ENC-004,cross-donor,leak_free,stomach,0.602440828402367,0.48862459655728885,0.7230349845323449,0.6757092261515032,52,,
ENC-004,cross-donor,leak_free,thyroid_gland,0.6218836565096953,0.5370887140572108,0.6951547902494332,0.6913263957943592,95,,
ENC-004,cross-donor,leak_free,tibial_nerve,0.6275555555555555,0.5364477711517186,0.7201395280729646,0.6233633396076016,75,,
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.5810355088276136,0.4902049129353234,0.6767044895403104,0.6543659303466058,71,,
ENC-004,cross-donor,leak_free,uterus,0.5527147371444987,0.4402241379310345,0.6516776458468878,0.6516965562794463,59,,
